"time","R0.i","R0.v","R1.i","R1.v"
0.182,0.0007582188559690764,0.7582188559690763,0.0003602089057201546,36.02089057201546
0.183,0.000760208905720333,0.760208905720333,0.0003621989554713983,36.21989554713983
0.184,0.0007621989554715611,0.7621989554715611,0.0003641890052226421,36.41890052226422
0.185,0.0007641890052228035,0.7641890052228035,0.000366179054973886,36.6179054973886
0.186,0.0007661790549740601,0.7661790549740601,0.0003681691047251298,36.81691047251298
0.187,0.0007681691047252883,0.7681691047252883,0.0003701591544763736,37.01591544763736
0.188,0.0007701591544765307,0.7701591544765307,0.0003721492042276174,37.21492042276174
0.189,0.0007721492042277589,0.7721492042277589,0.0003741392539788612,37.41392539788612
0.19,0.0007741392539790013,0.7741392539790013,0.000376129303730105,37.61293037301051
0.191,0.0007761293037302579,0.7761293037302579,0.0003781193534813488,37.81193534813488
0.192,0.0007781193534814861,0.7781193534814861,0.0003801094032325925,38.01094032325925
0.193,0.0007801094032327285,0.7801094032327285,0.0003820994529838363,38.20994529838363
0.194,0.0007820994529839851,0.7820994529839851,0.0003840895027350801,38.40895027350801
0.195,0.0007840895027352132,0.7840895027352133,0.0003860795524863239,38.60795524863239
0.196,0.0007860795524864556,0.7860795524864557,0.0003880696022375678,38.80696022375678
0.197,0.0007880696022376838,0.7880696022376839,0.0003900596519888116,39.00596519888116
0.198,0.0007900596519889262,0.7900596519889262,0.0003920497017400554,39.20497017400555
0.199,0.0007920497017401687,0.7920497017401686,0.0003940397514912993,39.40397514912993
0.2,0.0007940397514914111,0.794039751491411,0.000396029801242543,39.60298012425429
0.201,0.0007960298012426535,0.7960298012426534,0.0003980198509937868,39.80198509937868
0.202,0.0007980198509938959,0.7980198509938958,0.0004000099007450306,40.00099007450306
0.203,0.0008000099007451383,0.8000099007451382,0.0004019999504962744,40.19999504962743
0.204,0.0008019999504963806,0.8019999504963806,0.0004039900002475181,40.39900002475181
0.205,0.000803990000247623,0.803990000247623,0.0004059800499987619,40.59800499987619
0.206,0.0008059800499988512,0.8059800499988512,0.0004079700997500057,40.79700997500057
0.207,0.0008079700997500936,0.8079700997500936,0.0004099601495012495,40.99601495012495
0.208,0.0008099601495013502,0.8099601495013502,0.0004119501992524933,41.19501992524933
0.209,0.0008119501992525784,0.8119501992525784,0.0004139402490037371,41.39402490037372
0.21,0.0008139402490038208,0.8139402490038208,0.0004159302987549809,41.5930298754981
0.211,0.000815930298755049,0.815930298755049,0.0004179203485062248,41.79203485062248
0.212,0.0008179203485062914,0.8179203485062914,0.0004199103982574686,41.99103982574686
0.213,0.000819910398257548,0.819910398257548,0.0004219004480087123,42.19004480087123
0.214,0.0008219004480087761,0.8219004480087762,0.000423890497759956,42.3890497759956
0.215,0.0008238904977600185,0.8238904977600185,0.0004258805475111999,42.58805475111998
0.216,0.0008258805475112609,0.8258805475112609,0.0004278705972624437,42.78705972624437
0.217,0.0008278705972625033,0.8278705972625033,0.0004298606470136875,42.98606470136875
0.218,0.0008298606470137457,0.8298606470137457,0.0004318506967649313,43.18506967649313
0.219,0.0008318506967649739,0.8318506967649739,0.0004338407465161752,43.38407465161752
0.22,0.0008338407465162163,0.8338407465162163,0.000435830796267419,43.5830796267419
0.221,0.0008358307962674729,0.8358307962674729,0.0004378208460186627,43.78208460186627
0.222,0.0008378208460187011,0.8378208460187011,0.0004398108957699065,43.98108957699065
0.223,0.0008398108957699435,0.8398108957699435,0.0004418009455211503,44.18009455211503
0.224,0.0008418009455211859,0.8418009455211859,0.0004437909952723941,44.37909952723941
0.225,0.0008437909952724282,0.8437909952724283,0.0004457810450236379,44.57810450236379
0.226,0.0008457810450236706,0.8457810450236707,0.0004477710947748817,44.77710947748817
0.227,0.0008477710947748989,0.8477710947748989,0.0004497611445261255,44.97611445261255
0.228,0.0008497611445261413,0.8497611445261413,0.0004517511942773693,45.17511942773693
0.229,0.0008517511942773979,0.8517511942773979,0.000453741244028613,45.37412440286131
0.23,0.0008537412440286119,0.8537412440286118,0.000455731293779857,45.57312937798569
0.231,0.0008557312937798685,0.8557312937798685,0.0004577213435311007,45.77213435311007
0.232,0.0008577213435311109,0.8577213435311108,0.0004597113932823445,45.97113932823445
0.233,0.0008597113932823391,0.859711393282339,0.0004617014430335883,46.17014430335883
0.234,0.0008617014430335957,0.8617014430335956,0.0004636914927848321,46.36914927848321
0.235,0.000863691492784838,0.863691492784838,0.0004656815425360759,46.56815425360759
0.236,0.0008656815425360804,0.8656815425360804,0.0004676715922873196,46.76715922873196
0.237,0.0008676715922873228,0.8676715922873228,0.0004696616420385634,46.96616420385634
0.238,0.0008696616420385652,0.8696616420385652,0.0004716516917898071,47.16516917898071
0.239,0.0008716516917898076,0.8716516917898076,0.0004736417415410509,47.36417415410509
0.24,0.0008736417415410642,0.8736417415410642,0.0004756317912922947,47.56317912922947
0.241,0.0008756317912922924,0.8756317912922924,0.0004776218410435385,47.76218410435386
0.242,0.000877621841043549,0.877621841043549,0.0004796118907947823,47.96118907947823
0.243,0.0008796118907947914,0.8796118907947914,0.000481601940546026,48.1601940546026
0.244,0.0008816019405460196,0.8816019405460196,0.0004835919902972698,48.35919902972698
0.245,0.0008835919902972762,0.8835919902972762,0.0004855820400485136,48.55820400485136
0.246,0.0008855820400485186,0.8855820400485186,0.0004875720897997575,48.75720897997575
0.247,0.0008875720897997609,0.887572089799761,0.0004895621395510012,48.95621395510012
0.248,0.0008895621395510033,0.8895621395510034,0.000491552189302245,49.1552189302245
0.249,0.0008915521893022457,0.8915521893022458,0.0004935422390534888,49.35422390534888
0.25,0.0008935422390534881,0.8935422390534882,0.0004955322888047326,49.55322888047326
0.25,0.0008935422393022492,0.8935422393022492,0.0004955322890534895,49.55322890534895
0.25,0.00089354218930211,0.89354218930211,0.0004955322890534895,49.55322890534895
0.251,0.0006423850031132759,0.6423850031132758,0.0004967880749844337,49.67880749844337
0.252,0.0005505086906152457,0.5505086906152457,0.0004972474565469238,49.72474565469238
0.253,0.0005169527923242327,0.5169527923242327,0.0004974152360383788,49.74152360383788
0.254,0.0005046118185588142,0.5046118185588142,0.0004974769409072059,49.74769409072059
0.255,0.0005001281135372011,0.5001281135372011,0.000497499359432314,49.7499359432314
0.256,0.000498424809977891,0.498424809977891,0.0004975078759501105,49.75078759501105
0.257,0.0004978156307848707,0.4978156307848707,0.0004975109218460757,49.75109218460756
0.258,0.0004976174481893593,0.4976174481893594,0.0004975119127590532,49.75119127590532
0.259,0.000497556155993351,0.497556155993351,0.0004975122192200333,49.75122192200332
0.26,0.0004975242695194737,0.4975242695194737,0.0004975123786524027,49.75123786524027
0.261,0.0004975146038466107,0.4975146038466107,0.000497512426980767,49.7512426980767
0.262,0.0004975088497058237,0.4975088497058238,0.0004975124557514709,49.7512455751471
0.263,0.0004975073684902753,0.4975073684902753,0.0004975124631575486,49.75124631575486
0.264,0.0004975083811244331,0.4975083811244332,0.0004975124580943778,49.75124580943778
0.265,0.0004975093937585911,0.497509393758591,0.000497512453031207,49.7512453031207
0.266,0.0004975104063927489,0.4975104063927489,0.0004975124479680362,49.75124479680363
0.267,0.0004975114190269068,0.4975114190269068,0.0004975124429048654,49.75124429048654
0.268,0.000497511628302945,0.497511628302945,0.0004975124418584853,49.75124418584853
0.269,0.0004975118286041038,0.4975118286041038,0.0004975124408569795,49.75124408569795
0.27,0.0004975120289052626,0.4975120289052626,0.0004975124398554737,49.75124398554738
0.271,0.0004975122292064214,0.4975122292064214,0.0004975124388539679,49.75124388539679
0.272,0.0004975122594698434,0.4975122594698433,0.0004975124387026508,49.75124387026508
0.273,0.0004975122814541066,0.4975122814541066,0.0004975124385927295,49.75124385927295
0.274,0.0004975123034383699,0.4975123034383699,0.0004975124384828082,49.75124384828082
0.275,0.0004975123254226333,0.4975123254226332,0.0004975124383728869,49.75124383728869
0.276,0.0004975123474068965,0.4975123474068965,0.0004975124382629655,49.75124382629655
0.277,0.0004975123693911599,0.4975123693911598,0.0004975124381530442,49.75124381530442
0.278,0.0004975123913754231,0.4975123913754231,0.0004975124380431229,49.75124380431229
0.279,0.0004975124133596864,0.4975124133596864,0.0004975124379332016,49.75124379332016
0.28,0.0004975124170629641,0.4975124170629641,0.0004975124379146852,49.75124379146852
0.281,0.0004975124183394684,0.4975124183394684,0.0004975124379083026,49.75124379083026
0.282,0.0004975124196159726,0.4975124196159726,0.0004975124379019201,49.75124379019201
0.283,0.0004975124208924768,0.4975124208924768,0.0004975124378955376,49.75124378955376
0.284,0.0004975124221689811,0.4975124221689811,0.000497512437889155,49.7512437889155
